epiweek,region,first-observed-wili,final-observed-wili
201143,hhs6,1.8650000095367,1.87213
201144,hhs6,1.9479999542236,1.86579
201145,hhs6,1.902999997139,2.02278
201146,hhs6,2.3469998836517,2.22927
201147,hhs6,2.1180000305176,2.14262
201148,hhs6,2.2829999923706,2.15272
201149,hhs6,1.6870000362396,1.96344
201150,hhs6,1.8940000534058,2.11156
201151,hhs6,1.8810000419617,2.24022
201152,hhs6,1.7819999456406,2.29386
201201,hhs6,1.9529999494553,2.13777
201202,hhs6,1.960000038147,2.07773
201203,hhs6,2.0030000209808,2.18854
201204,hhs6,2.2530000209808,2.35321
201205,hhs6,2.3519999980927,2.45197
201206,hhs6,2.4739999771118,2.68775
201207,hhs6,2.6429998874664,3.03924
201208,hhs6,3.1870000362396,3.33632
201209,hhs6,3.4860000610352,3.49991
201210,hhs6,3.3870000839233,3.35928
201211,hhs6,4.3249998092651,4.10656
201212,hhs6,3.0090000629425,2.93849
201213,hhs6,2.5069999694824,2.5656
201214,hhs6,2.4479999542236,2.36481
201215,hhs6,1.9420000314713,1.93999
201216,hhs6,1.9459999799728,2.01636
201217,hhs6,1.8609999418259,1.93504
201218,hhs6,2.0329999923706,1.88552
201219,hhs6,1.74899995327,1.90734
201220,hhs6,1.9049999713898,1.88577
201141,hhs7,0.71700000762939,0.851874
201142,hhs7,0.59500002861023,0.761474
201143,hhs7,0.70899999141693,0.961229
201144,hhs7,0.86500000953674,1.14083
201145,hhs7,0.76300001144409,0.90938
201146,hhs7,0.96899998188019,0.839903
201147,hhs7,0.94800001382828,0.862174
201148,hhs7,0.72899997234344,1.03336
201149,hhs7,0.66399997472763,0.821731
201150,hhs7,1.069000005722,1.4333
201151,hhs7,0.93699997663498,1.41392
201152,hhs7,1.5930000543594,1.89373
201201,hhs7,1.3489999771118,1.47953
201202,hhs7,1.2300000190735,1.49896
201203,hhs7,1.3899999856949,1.60103
201204,hhs7,1.4570000171661,1.75629
201205,hhs7,2.404000043869,2.59091
201206,hhs7,2.9070000648499,2.81845
201207,hhs7,2.8989999294281,3.1466
201208,hhs7,2.9909999370575,3.03559
201209,hhs7,3.3900001049042,3.4431
201210,hhs7,3.5299999713898,3.12669
201211,hhs7,2.4860000610352,2.64834
201212,hhs7,1.4910000562668,1.69387
201213,hhs7,1.3569999933243,1.209
201214,hhs7,1.2359999418259,0.886149
201215,hhs7,0.56000000238419,0.790334
201216,hhs7,0.87099999189377,0.751913
201217,hhs7,0.55199998617172,0.692067
201218,hhs7,0.46500000357628,0.837067
201219,hhs7,0.28000000119209,0.664338
201220,hhs7,0.21400000154972,0.517189
201141,hhs2,0.88099998235703,0.960625
201142,hhs2,0.95999997854233,0.933331
201143,hhs2,0.95200002193451,0.919837
201144,hhs2,1.1019999980927,1.15578
201145,hhs2,0.9559999704361,1.07592
201146,hhs2,1.1670000553131,1.15923
201147,hhs2,1.2569999694824,1.29938
201148,hhs2,1.3650000095367,1.30751
201149,hhs2,1.5169999599457,1.35173
201150,hhs2,1.2740000486374,1.30895
201151,hhs2,0.97000002861023,1.19898
201152,hhs2,1.5920000076294,1.17979
201201,hhs2,1.1380000114441,1.30825
201202,hhs2,0.95999997854233,1.04792
201203,hhs2,1.1959999799728,1.14258
201204,hhs2,1.2189999818802,1.04818
201205,hhs2,1.1299999952316,1.09121
201206,hhs2,0.93300002813339,1.04782
201207,hhs2,0.89800000190735,1.09235
201208,hhs2,1.3849999904633,1.31095
201209,hhs2,1.2380000352859,1.21226
201210,hhs2,1.2999999523163,1.28876
201211,hhs2,1.2469999790192,1.30537
201212,hhs2,1.2640000581741,1.17617
201213,hhs2,1.0629999637604,1.07165
201214,hhs2,1.3339999914169,1.27276
201215,hhs2,1.1069999933243,1.14615
201216,hhs2,1.2480000257492,1.08368
201217,hhs2,1.0479999780655,0.948648
201218,hhs2,1.1660000085831,0.995739
201219,hhs2,0.85699999332428,0.871829
201220,hhs2,0.93000000715256,0.856222
201141,hhs9,0.79699999094009,1.73834
201142,hhs9,1.1280000209808,2.00711
201143,hhs9,1.067999958992,1.95815
201144,hhs9,1.3009999990463,2.15899
201145,hhs9,1.3250000476837,1.89203
201146,hhs9,1.3839999437332,2.27028
201147,hhs9,1.3040000200272,2.20507
201148,hhs9,0.74699997901917,1.53376
201149,hhs9,1.1610000133514,2.33479
201150,hhs9,2.0859999656677,2.56613
201151,hhs9,1.1759999990463,3.05014
201152,hhs9,1.1950000524521,3.68816
201201,hhs9,1.5620000362396,2.99636
201202,hhs9,1.1480000019073,2.50573
201203,hhs9,1.1180000305176,2.36802
201204,hhs9,2.0490000247955,3.01277
201205,hhs9,2.2760000228882,3.34077
201206,hhs9,3.0280001163483,2.93438
201207,hhs9,2.2109999656677,3.17132
201208,hhs9,2.2119998931885,3.65957
201209,hhs9,1.8769999742508,3.14123
201210,hhs9,2.9389998912811,2.49756
201211,hhs9,2.6730000972748,2.81932
201212,hhs9,2.9249999523163,2.62173
201213,hhs9,2.8399999141693,3.43265
201214,hhs9,1.7569999694824,2.70898
201215,hhs9,2.1979999542236,2.5828
201216,hhs9,1.4160000085831,1.98471
201217,hhs9,1.0880000591278,1.93868
201218,hhs9,2.5309998989105,2.12065
201219,hhs9,1.3220000267029,1.98364
201220,hhs9,0.5799999833107,1.85652
201141,hhs1,0.58399999141693,0.689897
201142,hhs1,0.68599998950958,0.630234
201143,hhs1,0.73299998044968,0.676542
201144,hhs1,0.60699999332428,0.681778
201145,hhs1,0.76099997758865,0.722186
201146,hhs1,0.64499998092651,0.584198
201147,hhs1,0.63599997758865,0.671443
201148,hhs1,0.63099998235703,0.624269
201149,hhs1,0.64399999380112,0.628389
201150,hhs1,0.77499997615814,0.78979
201151,hhs1,0.88300001621246,0.86589
201152,hhs1,1.1089999675751,1.00526
201201,hhs1,0.81800001859665,0.910657
201202,hhs1,0.88099998235703,0.800414
201203,hhs1,0.98100000619888,0.838438
201204,hhs1,0.86400002241135,0.819739
201205,hhs1,0.75400000810623,0.771312
201206,hhs1,0.72899997234344,0.846266
201207,hhs1,0.85299998521805,0.902132
201208,hhs1,1.1200000047684,0.949344
201209,hhs1,0.88599997758865,0.803368
201210,hhs1,0.74099999666214,0.774284
201211,hhs1,0.86599999666214,0.858635
201212,hhs1,0.83999997377396,0.831097
201213,hhs1,0.60399997234344,0.621933
201214,hhs1,0.72699999809265,0.7515
201215,hhs1,0.81900000572205,0.857187
201216,hhs1,0.85900002717972,0.778564
201217,hhs1,0.54900002479553,0.57168
201218,hhs1,0.49200001358986,0.518703
201219,hhs1,0.55000001192093,0.608604
201220,hhs1,0.51300001144409,0.499494
201141,hhs10,1.0099999904633,0.699265
201142,hhs10,0.67199999094009,0.58154
201143,hhs10,0.65499997138977,0.653306
201144,hhs10,1.2070000171661,0.823121
201145,hhs10,0.70200002193451,0.662245
201146,hhs10,1.4859999418259,0.902773
201147,hhs10,1.3559999465942,1.07526
201148,hhs10,0.91600000858307,0.829685
201149,hhs10,0.81300002336502,0.587594
201150,hhs10,1.4129999876022,1.00858
201151,hhs10,1.4240000247955,1.15362
201152,hhs10,2.7239999771118,1.25039
201201,hhs10,1.0809999704361,1.09205
201202,hhs10,0.85399997234344,0.73641
201203,hhs10,1.779000043869,1.14829
201204,hhs10,1.3209999799728,1.0627
201205,hhs10,2.375,1.23111
201206,hhs10,1.7929999828339,1.18943
201207,hhs10,2.1400001049042,1.52115
201208,hhs10,0.99400001764297,1.40323
201209,hhs10,1.7979999780655,1.48527
201210,hhs10,2.3050000667572,1.57872
201211,hhs10,3.1989998817444,1.87248
201212,hhs10,2.9479999542236,2.18932
201213,hhs10,1.4639999866486,1.76887
