component_model_id,season,target,weight
ReichLab-SARIMA1,2014/2015,Season onset,1.58731805084155e-23
ReichLab-SARIMA1,2014/2015,Season peak week,1.58731805084155e-23
ReichLab-SARIMA1,2014/2015,Season peak percentage,1.58731805084155e-23
ReichLab-SARIMA2,2014/2015,Season onset,4.64784194184147e-08
ReichLab-SARIMA2,2014/2015,Season peak week,4.64784194184147e-08
ReichLab-SARIMA2,2014/2015,Season peak percentage,4.64784194184147e-08
CU-BMA,2015/2016,Season onset,0.0384542858466384
CU-BMA,2015/2016,Season peak week,0.0384542858466384
CU-BMA,2015/2016,Season peak percentage,0.0384542858466384
CU-EAKFC_SEIRS,2015/2016,Season onset,0.00042597238411975
CU-EAKFC_SEIRS,2015/2016,Season peak week,0.00042597238411975
CU-EAKFC_SEIRS,2015/2016,Season peak percentage,0.00042597238411975
CU-EAKFC_SIRS,2015/2016,Season onset,0.0492019184181727
CU-EAKFC_SIRS,2015/2016,Season peak week,0.0492019184181727
CU-EAKFC_SIRS,2015/2016,Season peak percentage,0.0492019184181727
CU-EKF_SEIRS,2015/2016,Season onset,2.69059590512881e-07
CU-EKF_SEIRS,2015/2016,Season peak week,2.69059590512881e-07
CU-EKF_SEIRS,2015/2016,Season peak percentage,2.69059590512881e-07
CU-EKF_SIRS,2015/2016,Season onset,2.98249397895057e-05
CU-EKF_SIRS,2015/2016,Season peak week,2.98249397895057e-05
CU-EKF_SIRS,2015/2016,Season peak percentage,2.98249397895057e-05
CU-RHF_SEIRS,2015/2016,Season onset,1.7864765035274e-10
CU-RHF_SEIRS,2015/2016,Season peak week,1.7864765035274e-10
CU-RHF_SEIRS,2015/2016,Season peak percentage,1.7864765035274e-10
CU-RHF_SIRS,2015/2016,Season onset,0.000160463595047557
CU-RHF_SIRS,2015/2016,Season peak week,0.000160463595047557
CU-RHF_SIRS,2015/2016,Season peak percentage,0.000160463595047557
Delphi-BasisRegression,2015/2016,Season onset,1.30064381571937e-100
Delphi-BasisRegression,2015/2016,Season peak week,1.30064381571937e-100
Delphi-BasisRegression,2015/2016,Season peak percentage,1.30064381571937e-100
Delphi-DeltaDensity1,2015/2016,Season onset,1.48510960314676e-09
Delphi-DeltaDensity1,2015/2016,Season peak week,1.48510960314676e-09
Delphi-DeltaDensity1,2015/2016,Season peak percentage,1.48510960314676e-09
Delphi-DeltaDensity2,2015/2016,Season onset,9.50437697576086e-17
Delphi-DeltaDensity2,2015/2016,Season peak week,9.50437697576086e-17
Delphi-DeltaDensity2,2015/2016,Season peak percentage,9.50437697576086e-17
Delphi-EmpiricalBayes1,2015/2016,Season onset,0.00017861468591861
Delphi-EmpiricalBayes1,2015/2016,Season peak week,0.00017861468591861
Delphi-EmpiricalBayes1,2015/2016,Season peak percentage,0.00017861468591861
Delphi-EmpiricalBayes2,2015/2016,Season onset,0.000945735284696732
Delphi-EmpiricalBayes2,2015/2016,Season peak week,0.000945735284696732
Delphi-EmpiricalBayes2,2015/2016,Season peak percentage,0.000945735284696732
Delphi-EmpiricalFuture,2015/2016,Season onset,0.0126654029386039
Delphi-EmpiricalFuture,2015/2016,Season peak week,0.0126654029386039
Delphi-EmpiricalFuture,2015/2016,Season peak percentage,0.0126654029386039
Delphi-EmpiricalTraj,2015/2016,Season onset,3.82218173540712e-23
Delphi-EmpiricalTraj,2015/2016,Season peak week,3.82218173540712e-23
Delphi-EmpiricalTraj,2015/2016,Season peak percentage,3.82218173540712e-23
Delphi-Stat,2015/2016,Season onset,2.80688920727287e-16
Delphi-Stat,2015/2016,Season peak week,2.80688920727287e-16
Delphi-Stat,2015/2016,Season peak percentage,2.80688920727287e-16
Delphi-Uniform,2015/2016,Season onset,1.0661591314053e-101
Delphi-Uniform,2015/2016,Season peak week,1.0661591314053e-101
Delphi-Uniform,2015/2016,Season peak percentage,1.0661591314053e-101
LANL-DBM,2015/2016,Season onset,0.59201239456747
LANL-DBM,2015/2016,Season peak week,0.59201239456747
LANL-DBM,2015/2016,Season peak percentage,0.59201239456747
ReichLab-KCDE,2015/2016,Season onset,0.172289627402798
ReichLab-KCDE,2015/2016,Season peak week,0.172289627402798
ReichLab-KCDE,2015/2016,Season peak percentage,0.172289627402798
ReichLab-KDE,2015/2016,Season onset,0.0309450215256436
ReichLab-KDE,2015/2016,Season peak week,0.0309450215256436
ReichLab-KDE,2015/2016,Season peak percentage,0.0309450215256436
ReichLab-SARIMA1,2015/2016,Season onset,2.50315709989316e-39
ReichLab-SARIMA1,2015/2016,Season peak week,2.50315709989316e-39
ReichLab-SARIMA1,2015/2016,Season peak percentage,2.50315709989316e-39
ReichLab-SARIMA2,2015/2016,Season onset,0.102690467687753
ReichLab-SARIMA2,2015/2016,Season peak week,0.102690467687753
ReichLab-SARIMA2,2015/2016,Season peak percentage,0.102690467687753
CU-BMA,2016/2017,Season onset,0.0305088018056397
CU-BMA,2016/2017,Season peak week,0.0305088018056397
CU-BMA,2016/2017,Season peak percentage,0.0305088018056397
CU-EAKFC_SEIRS,2016/2017,Season onset,0.00240339323131961
CU-EAKFC_SEIRS,2016/2017,Season peak week,0.00240339323131961
CU-EAKFC_SEIRS,2016/2017,Season peak percentage,0.00240339323131961
CU-EAKFC_SIRS,2016/2017,Season onset,0.0397680192115737
CU-EAKFC_SIRS,2016/2017,Season peak week,0.0397680192115737
CU-EAKFC_SIRS,2016/2017,Season peak percentage,0.0397680192115737
CU-EKF_SEIRS,2016/2017,Season onset,8.69911632437716e-07
CU-EKF_SEIRS,2016/2017,Season peak week,8.69911632437716e-07
CU-EKF_SEIRS,2016/2017,Season peak percentage,8.69911632437716e-07
CU-EKF_SIRS,2016/2017,Season onset,2.11324405389143e-06
CU-EKF_SIRS,2016/2017,Season peak week,2.11324405389143e-06
CU-EKF_SIRS,2016/2017,Season peak percentage,2.11324405389143e-06
CU-RHF_SEIRS,2016/2017,Season onset,7.6780603215616e-09
CU-RHF_SEIRS,2016/2017,Season peak week,7.6780603215616e-09
CU-RHF_SEIRS,2016/2017,Season peak percentage,7.6780603215616e-09
CU-RHF_SIRS,2016/2017,Season onset,3.6815604976489e-05
CU-RHF_SIRS,2016/2017,Season peak week,3.6815604976489e-05
CU-RHF_SIRS,2016/2017,Season peak percentage,3.6815604976489e-05
